epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,5260.19,1.06522,0.78293,1.18905,0.99237,0.9816,0.98536,0.75593,1.32268,0.89515,1.25251,0.00037346,0.00037346,0.00037346
78,5334.62,0.9808,0.74283,1.15306,0.99203,0.9816,0.98496,0.76172,1.27075,0.87817,1.24413,0.000371795,0.000371795,0.000371795
79,5409.5,1.00536,0.78001,1.15618,0.98763,0.97926,0.98471,0.72431,1.42581,0.95471,1.30613,0.00037013,0.00037013,0.00037013
80,5481.03,0.99582,0.75578,1.15782,0.98143,0.9725,0.9836,0.76621,1.24299,0.88841,1.24144,0.000368465,0.000368465,0.000368465
81,5549.77,0.96116,0.73325,1.16595,0.99164,0.96933,0.9841,0.72315,1.4221,0.92355,1.28937,0.0003668,0.0003668,0.0003668
82,5618.74,0.97726,0.74265,1.16179,0.99347,0.96933,0.98457,0.75765,1.31289,0.90971,1.2534,0.000365135,0.000365135,0.000365135
83,5689.1,0.96289,0.73511,1.17281,0.98302,0.95706,0.98363,0.7207,1.45231,0.96142,1.31195,0.00036347,0.00036347,0.00036347
84,5763.27,0.99005,0.75591,1.17403,0.98569,0.94479,0.97434,0.71908,1.41961,0.97472,1.29749,0.000361805,0.000361805,0.000361805
85,5839.04,0.98152,0.78272,1.16578,0.98893,0.95092,0.98423,0.76304,1.25902,0.86102,1.23428,0.00036014,0.00036014,0.00036014
86,5913.77,0.93086,0.70755,1.15119,0.97497,0.95586,0.97942,0.69467,1.54417,0.98856,1.33072,0.000358475,0.000358475,0.000358475
87,5988.62,1.00671,0.76097,1.15092,0.98569,0.96319,0.98004,0.74047,1.3505,0.92351,1.28433,0.00035681,0.00035681,0.00035681
88,6065.37,0.95352,0.72994,1.14735,0.98656,0.97546,0.98443,0.73953,1.34738,0.87619,1.27845,0.000355145,0.000355145,0.000355145
89,6140.31,0.95035,0.71795,1.15185,0.99339,0.9816,0.98618,0.73537,1.36349,0.8712,1.26687,0.00035348,0.00035348,0.00035348
90,6215.17,0.9225,0.73375,1.13716,0.99378,0.98059,0.98548,0.74304,1.35715,0.90361,1.27264,0.000351815,0.000351815,0.000351815
91,6289.72,0.91964,0.71439,1.14626,0.98992,0.96933,0.98435,0.72848,1.38781,0.91061,1.27648,0.00035015,0.00035015,0.00035015
92,6364.42,0.90967,0.71163,1.13306,0.98618,0.97546,0.98549,0.75581,1.26493,0.8734,1.24352,0.000348485,0.000348485,0.000348485
93,6440.69,0.89368,0.69058,1.14951,0.9799,0.97546,0.98671,0.73713,1.3945,0.91799,1.28673,0.00034682,0.00034682,0.00034682
94,6515.78,0.93882,0.71873,1.15596,0.98469,0.96933,0.98643,0.7319,1.38278,0.90344,1.2808,0.000345155,0.000345155,0.000345155
95,6590.34,0.9544,0.72098,1.15609,0.98177,0.96319,0.98396,0.77307,1.26446,0.89251,1.22799,0.00034349,0.00034349,0.00034349
96,6664.95,0.93982,0.70642,1.14938,0.98845,0.96319,0.98374,0.74599,1.3678,0.86175,1.26547,0.000341825,0.000341825,0.000341825
97,6734.36,0.9451,0.70289,1.15007,0.97984,0.9816,0.9838,0.76173,1.23785,0.80197,1.23184,0.00034016,0.00034016,0.00034016
98,6802.87,0.96476,0.71302,1.15372,0.97559,0.9806,0.98414,0.73648,1.36575,0.88999,1.27882,0.000338495,0.000338495,0.000338495
99,6869.88,0.93232,0.71682,1.15711,0.9744,0.9816,0.9853,0.74874,1.32869,0.85704,1.25438,0.00033683,0.00033683,0.00033683
100,6936.3,0.90146,0.66314,1.14015,0.97101,0.97546,0.98411,0.71877,1.47156,0.92561,1.31409,0.000335165,0.000335165,0.000335165
101,7005.21,0.85068,0.65984,1.14343,0.96846,0.9816,0.98478,0.73788,1.34118,0.86004,1.25535,0.0003335,0.0003335,0.0003335
102,7073.07,0.93189,0.69555,1.16519,0.97926,0.9816,0.98584,0.75212,1.32324,0.86058,1.25798,0.000331835,0.000331835,0.000331835
103,7138.47,0.88612,0.69912,1.17166,0.98765,0.98105,0.98678,0.77058,1.24022,0.8399,1.24219,0.00033017,0.00033017,0.00033017
104,7203.41,0.88652,0.66873,1.13712,0.98833,0.97546,0.98711,0.76754,1.27729,0.88097,1.25806,0.000328505,0.000328505,0.000328505
